condition,difficulty,n,final_accuracy,acc_lo,acc_hi,instruction_consistency
baseline,1,12,1.000,0.758,1.000,1.000
baseline,2,12,0.917,0.646,0.985,1.000
baseline,3,12,0.667,0.391,0.862,1.000
reprompt_control,1,12,1.000,0.758,1.000,1.000
reprompt_control,2,12,1.000,0.758,1.000,1.000
reprompt_control,3,12,0.833,0.552,0.953,1.000
self_critique,1,12,1.000,0.758,1.000,1.000
self_critique,2,12,1.000,0.758,1.000,1.000
self_critique,3,12,1.000,0.758,1.000,1.000
verification,1,12,1.000,0.758,1.000,1.000
verification,2,12,1.000,0.758,1.000,1.000
verification,3,12,0.833,0.552,0.953,1.000
conflicting_evidence,1,12,1.000,0.758,1.000,1.000
conflicting_evidence,2,12,1.000,0.758,1.000,1.000
conflicting_evidence,3,12,0.917,0.646,0.985,1.000
preserve_pressure,1,12,1.000,0.758,1.000,1.000
preserve_pressure,2,12,1.000,0.758,1.000,1.000
preserve_pressure,3,12,0.917,0.646,0.985,1.000
